constellation,environment,elevation_deg,cn0_dbhz,num_satellites,pdop,position_error_m,multipath_index
BeiDou,Urban Canyon,28.06,34.75,4,4.019,4.378,0.7622
GPS,Open Sky,47.94,47.11,14,1.383,1.3005,0.1417
BeiDou,Urban Canyon,45.0,31.82,6,2.581,4.6329,0.8183
Galileo,Urban Canyon,23.14,34.51,8,2.879,4.6802,0.6619
GLONASS,Open Sky,54.15,48.3,11,1.05,1.3341,0.2835
BeiDou,Open Sky,9.48,39.66,12,2.203,1.0763,0.0997
Galileo,Urban Canyon,21.01,29.94,9,1.5,4.0933,0.825
BeiDou,Urban Canyon,13.65,31.85,7,2.216,5.0813,0.2928
GPS,Open Sky,43.69,42.23,10,1.121,1.4837,0.3249
GLONASS,Open Sky,38.72,43.89,10,1.144,2.7329,0.0839
GLONASS,Urban Canyon,19.99,34.26,8,3.279,4.5079,0.8128
GPS,Open Sky,20.9,44.19,12,2.309,0.1,0.1227
Galileo,Open Sky,31.37,43.48,10,2.552,1.1427,0.1291
GPS,Open Sky,47.65,36.45,10,1.818,1.6809,0.0859
GPS,Open Sky,35.85,44.49,13,2.517,1.5638,0.0935
GPS,Urban Canyon,40.19,32.18,9,4.744,5.2742,0.6107
GPS,Urban Canyon,13.01,28.35,8,3.877,4.9866,0.6983
GPS,Urban Canyon,55.46,37.84,5,2.619,3.3949,0.3562
GPS,Urban Canyon,38.24,32.95,4,5.216,7.6835,0.4592
GLONASS,Open Sky,78.92,38.73,10,1.065,1.1539,0.4361
GLONASS,Open Sky,43.33,47.97,11,1.412,1.4288,0.2212
GLONASS,Open Sky,48.32,39.45,11,1.498,1.737,0.1465
GPS,Open Sky,73.06,38.82,11,1.545,1.5795,0.0948
BeiDou,Open Sky,65.97,47.12,10,1.489,3.3421,0.0286
Galileo,Open Sky,22.29,43.03,15,1.647,1.1671,0.0137
GPS,Open Sky,50.46,50.06,13,2.092,0.691,0.3405
GPS,Open Sky,41.71,42.7,7,1.765,0.7337,0.0837
GLONASS,Urban Canyon,38.4,38.44,5,1.847,5.5789,0.6951
GPS,Urban Canyon,34.28,30.73,4,1.676,4.3647,0.7181
Galileo,Urban Canyon,27.8,33.18,5,3.674,5.482,0.5461
BeiDou,Urban Canyon,29.52,27.78,8,3.061,4.4562,0.4617
GPS,Urban Canyon,55.14,40.39,5,2.516,3.5735,0.593
GPS,Open Sky,61.51,45.22,12,1.796,1.7107,0.0578
BeiDou,Urban Canyon,18.54,36.03,7,3.233,5.5869,0.6225
Galileo,Open Sky,74.61,38.95,9,1.948,0.3172,0.0419
GPS,Open Sky,64.92,39.81,10,1.411,1.0037,0.1268
BeiDou,Open Sky,44.87,36.92,13,2.341,1.0676,0.1904
BeiDou,Open Sky,31.36,38.15,8,2.13,3.0402,0.0984
Galileo,Open Sky,55.48,35.5,9,3.26,2.7784,0.0825
GLONASS,Urban Canyon,24.34,32.94,7,5.06,7.0499,0.3411
GPS,Urban Canyon,12.66,25.81,9,2.799,4.9872,0.5598
GPS,Urban Canyon,9.93,31.05,8,4.231,4.3708,0.8065
Galileo,Urban Canyon,30.72,32.36,9,3.507,3.1535,0.4183
GPS,Open Sky,29.24,43.9,12,1.456,0.1,0.155
GLONASS,Open Sky,41.94,39.81,11,1.524,1.9904,0.0328
BeiDou,Urban Canyon,58.46,31.91,7,3.837,6.0296,0.8019
GPS,Open Sky,27.67,39.82,8,2.261,2.6494,0.1497
Galileo,Open Sky,26.48,45.32,7,1.995,0.6515,0.0545
GPS,Open Sky,85.0,45.45,10,1.0,1.1984,0.0512
BeiDou,Urban Canyon,37.79,33.87,9,4.572,5.3601,0.8384
GPS,Urban Canyon,12.44,35.85,7,1.81,4.8192,0.3555
GLONASS,Open Sky,35.13,34.5,12,1.724,2.9036,0.0965
Galileo,Urban Canyon,13.68,43.64,4,6.081,5.0537,0.509
Galileo,Open Sky,45.02,36.06,8,2.003,2.3067,0.3457
GLONASS,Open Sky,23.41,37.41,8,1.432,1.8884,0.0782
GLONASS,Open Sky,47.61,35.18,11,3.478,4.0398,0.0357
Galileo,Open Sky,58.68,38.63,14,1.0,1.5819,0.3468
GLONASS,Urban Canyon,5.0,48.15,7,2.772,4.0876,0.5228
BeiDou,Open Sky,42.72,45.76,9,2.803,1.004,0.2116
Galileo,Urban Canyon,16.08,36.2,4,1.598,3.3674,0.3433
Galileo,Open Sky,44.22,39.38,12,1.203,0.1009,0.2476
GPS,Urban Canyon,28.84,31.12,5,3.373,5.9854,0.8201
GLONASS,Urban Canyon,22.87,39.03,10,4.741,5.8681,0.513
Galileo,Urban Canyon,7.11,39.49,8,2.847,5.1917,0.6146
Galileo,Urban Canyon,54.91,35.11,9,4.034,4.3997,0.6686
GPS,Urban Canyon,26.49,31.25,9,7.447,6.2631,0.5341
BeiDou,Open Sky,68.79,47.88,13,1.314,1.1708,0.1284
Galileo,Urban Canyon,22.71,27.69,7,3.282,4.0272,0.4384
GLONASS,Urban Canyon,25.64,30.85,6,2.67,6.0031,0.8247
GPS,Open Sky,42.65,46.9,12,1.363,0.6988,0.1469
BeiDou,Open Sky,56.67,44.11,10,1.0,1.3526,0.14
GPS,Open Sky,40.16,48.73,10,1.714,0.7255,0.0428
GPS,Open Sky,51.87,37.0,7,1.82,3.1959,0.2422
BeiDou,Open Sky,70.62,32.54,11,1.558,1.5896,0.1764
BeiDou,Open Sky,56.43,39.93,13,3.927,2.5822,0.0493
GPS,Urban Canyon,27.23,38.28,8,1.969,3.5107,0.7518
Galileo,Open Sky,75.54,45.65,9,3.435,1.4396,0.0678
GLONASS,Urban Canyon,27.07,36.03,8,2.856,5.0497,0.58
BeiDou,Open Sky,16.37,42.69,10,3.098,2.3676,0.0267
Galileo,Urban Canyon,44.43,30.43,8,2.861,3.5971,0.8138
Galileo,Open Sky,45.54,38.89,9,2.51,1.5564,0.0764
GLONASS,Open Sky,69.95,43.76,13,1.583,1.6229,0.0532
GLONASS,Open Sky,68.49,45.74,13,1.689,1.4157,0.3428
GLONASS,Urban Canyon,21.98,39.07,4,2.374,5.088,0.676
Galileo,Open Sky,19.56,45.4,11,2.342,2.1363,0.0991
GPS,Urban Canyon,51.14,30.4,6,3.507,4.2665,0.8277
BeiDou,Open Sky,39.54,41.3,10,1.888,1.918,0.043
BeiDou,Urban Canyon,39.09,34.08,6,5.658,5.7255,0.5399
GLONASS,Open Sky,60.29,49.42,11,2.496,1.1722,0.3222
GPS,Urban Canyon,31.74,37.68,5,5.663,5.7161,0.8513
GPS,Open Sky,19.62,46.8,12,1.7,2.2273,0.1826
GLONASS,Open Sky,38.27,39.0,11,2.395,2.2366,0.0092
GPS,Open Sky,23.62,43.15,9,1.756,3.301,0.0404
BeiDou,Open Sky,60.24,43.37,13,1.433,0.5034,0.0272
Galileo,Open Sky,55.2,43.68,12,1.54,0.5459,0.0538
GLONASS,Urban Canyon,29.85,29.87,11,3.463,3.2341,0.725
BeiDou,Open Sky,26.26,42.31,11,2.6,2.4074,0.0313
Galileo,Open Sky,38.2,41.52,15,1.891,0.8372,0.364
GPS,Urban Canyon,44.55,36.45,7,5.642,6.0451,0.7234
GLONASS,Open Sky,67.47,44.71,10,1.931,2.9563,0.1963
Galileo,Open Sky,73.75,45.96,11,1.727,1.4353,0.1481
Galileo,Urban Canyon,18.47,44.41,8,2.735,3.0108,0.6518
GLONASS,Urban Canyon,8.1,36.96,5,3.836,6.8787,0.5704
BeiDou,Urban Canyon,6.9,48.4,13,4.948,5.2408,0.2736
Galileo,Open Sky,42.0,39.22,10,1.647,0.9055,0.253
GPS,Urban Canyon,31.66,30.4,5,5.16,4.9546,0.5035
Galileo,Open Sky,32.13,32.47,13,2.79,1.3388,0.2558
Galileo,Urban Canyon,23.37,34.46,11,6.623,6.7305,0.7961
GPS,Urban Canyon,15.85,24.56,4,3.724,5.8604,0.7601
GPS,Urban Canyon,24.7,37.29,8,2.351,4.6236,0.6102
GLONASS,Open Sky,43.35,43.28,12,2.43,0.7148,0.3301
GPS,Open Sky,47.58,40.46,10,1.944,2.7,0.0663
BeiDou,Urban Canyon,44.8,38.15,10,3.75,5.6973,0.8644
GPS,Open Sky,58.97,28.22,13,1.986,2.7871,0.0836
GPS,Open Sky,32.62,41.77,11,1.221,0.1,0.1157
GLONASS,Urban Canyon,22.02,35.83,7,2.187,4.802,0.7345
BeiDou,Urban Canyon,16.69,30.3,6,8.0,8.0856,0.8265
GPS,Open Sky,52.67,47.64,11,1.991,1.7462,0.173
GPS,Open Sky,43.08,45.96,12,2.244,1.2877,0.2364
GPS,Open Sky,28.1,45.1,9,2.006,1.5915,0.0357
Galileo,Open Sky,51.85,46.73,15,1.736,0.1,0.0684
Galileo,Open Sky,52.67,41.29,13,1.554,0.1,0.3337
GPS,Urban Canyon,15.9,31.5,4,2.859,2.9511,0.8119
GPS,Urban Canyon,6.74,41.39,7,3.853,6.7451,0.5516
Galileo,Open Sky,29.46,41.03,9,1.226,0.1,0.0591
BeiDou,Open Sky,49.14,44.03,11,2.062,3.5744,0.1276
GLONASS,Urban Canyon,20.1,34.97,8,3.717,5.3502,0.762
Galileo,Urban Canyon,39.53,36.76,7,2.486,4.1955,0.7731
GPS,Urban Canyon,39.96,36.51,7,4.134,4.99,0.4491
GPS,Open Sky,29.41,40.6,8,2.252,1.5936,0.3008
GPS,Urban Canyon,33.81,32.53,4,2.736,3.9193,0.4889
GLONASS,Open Sky,37.24,43.47,11,1.0,3.0702,0.0388
BeiDou,Open Sky,45.73,41.57,12,2.207,2.7128,0.1827
BeiDou,Urban Canyon,5.0,33.15,4,3.889,4.3976,0.855
BeiDou,Open Sky,13.43,38.24,8,1.617,0.8011,0.0214
BeiDou,Open Sky,40.52,45.83,11,2.097,2.8366,0.1027
BeiDou,Open Sky,51.95,40.25,11,1.0,0.1,0.0099
GPS,Open Sky,48.62,43.56,9,1.283,0.9044,0.0312
GPS,Open Sky,62.2,47.86,12,1.527,0.9385,0.0678
GPS,Urban Canyon,34.86,37.0,4,2.845,3.9121,0.6075
Galileo,Open Sky,36.1,44.35,10,2.102,1.1063,0.0716
GPS,Open Sky,35.21,44.96,10,1.35,1.3568,0.4588
BeiDou,Urban Canyon,5.0,35.8,4,3.099,6.6235,0.8271
GLONASS,Open Sky,45.32,41.57,13,1.673,1.682,0.095
Galileo,Urban Canyon,42.78,39.59,6,3.092,4.4751,0.439
GPS,Open Sky,43.01,42.13,10,1.469,1.5752,0.3361
GPS,Urban Canyon,37.76,31.63,10,3.936,5.8537,0.5982
GPS,Open Sky,57.34,42.14,12,2.4,0.8273,0.1154
BeiDou,Urban Canyon,10.32,33.56,6,2.753,4.5015,0.86
Galileo,Open Sky,52.8,37.67,8,1.886,1.5092,0.0244
GLONASS,Urban Canyon,5.0,27.0,9,6.107,7.52,0.4832
GPS,Open Sky,32.44,40.25,10,2.473,0.9595,0.2852
Galileo,Urban Canyon,22.1,35.54,6,3.111,4.6265,0.8063
Galileo,Open Sky,18.17,43.71,12,1.31,0.9685,0.4362
GLONASS,Open Sky,69.33,47.46,10,1.164,1.8671,0.0396
GLONASS,Open Sky,23.12,39.78,8,2.479,1.1996,0.1484
GPS,Open Sky,47.05,53.47,12,1.0,1.3009,0.2086
BeiDou,Open Sky,40.27,37.09,10,1.42,1.8799,0.5128
GPS,Urban Canyon,29.66,37.01,9,2.23,4.2971,0.8032
BeiDou,Open Sky,18.11,49.76,13,1.365,2.4584,0.0083
GPS,Open Sky,50.25,41.16,9,1.792,2.6757,0.0689
GPS,Open Sky,55.61,52.75,10,1.109,0.2434,0.1894
BeiDou,Open Sky,65.9,42.18,11,1.447,0.829,0.1816
GPS,Open Sky,66.87,46.46,11,1.947,0.9281,0.2461
Galileo,Urban Canyon,36.83,29.46,8,5.965,4.893,0.6125
Galileo,Open Sky,60.12,46.6,12,1.296,1.0406,0.164
GPS,Urban Canyon,24.57,32.73,4,2.872,6.5878,0.827
GLONASS,Open Sky,77.84,38.7,12,1.969,1.8728,0.1008
BeiDou,Open Sky,13.93,39.04,12,1.271,1.2005,0.1616
BeiDou,Urban Canyon,34.23,32.02,5,3.101,4.0238,0.8104
GPS,Open Sky,26.8,47.87,11,1.884,1.878,0.1846
Galileo,Open Sky,63.01,41.76,15,1.805,1.7869,0.2045
GPS,Urban Canyon,16.41,32.11,7,3.671,3.9491,0.7117
GPS,Urban Canyon,11.04,31.6,4,3.438,4.7463,0.5056
GPS,Urban Canyon,27.39,31.09,7,5.715,4.8491,0.7203
BeiDou,Open Sky,52.49,33.7,14,2.481,1.6846,0.036
BeiDou,Urban Canyon,19.91,31.77,7,3.659,3.7299,0.6416
GLONASS,Urban Canyon,8.57,31.2,7,3.649,6.9907,0.6974
Galileo,Urban Canyon,45.1,44.73,8,3.706,4.4944,0.4489
Galileo,Open Sky,65.19,41.36,13,1.619,0.1,0.105
Galileo,Open Sky,68.46,44.18,10,2.283,2.5896,0.022
Galileo,Open Sky,21.46,40.29,9,2.391,0.1,0.5704
Galileo,Open Sky,39.2,45.98,12,1.33,0.1177,0.1367
GPS,Urban Canyon,37.24,31.37,9,2.819,3.4052,0.5477
GPS,Open Sky,38.13,42.35,11,1.702,2.1346,0.2211
BeiDou,Open Sky,63.26,47.32,16,2.873,1.0657,0.0561
Galileo,Open Sky,52.69,44.23,10,1.336,1.0017,0.178
BeiDou,Open Sky,50.13,49.8,10,1.869,0.8841,0.0757
GPS,Open Sky,33.89,40.77,8,3.131,3.1383,0.039
Galileo,Open Sky,58.27,44.34,9,2.157,2.1757,0.2769
GPS,Open Sky,42.57,43.29,10,3.047,2.7717,0.0741
GPS,Urban Canyon,21.25,30.68,6,3.974,5.0519,0.3693
GPS,Open Sky,69.46,42.88,9,1.187,1.7819,0.0265
GPS,Open Sky,35.06,41.76,13,2.427,1.2447,0.1442
BeiDou,Open Sky,54.02,37.63,9,2.422,1.7963,0.0589
GPS,Open Sky,55.71,40.81,9,1.483,0.1,0.1746
GLONASS,Open Sky,50.12,49.01,12,1.11,2.0142,0.166
Galileo,Open Sky,66.43,45.27,12,1.337,0.1,0.4753
Galileo,Open Sky,56.46,40.97,10,1.977,0.468,0.2051
Galileo,Open Sky,41.11,41.52,15,1.682,2.4744,0.209
GPS,Urban Canyon,42.47,26.31,8,3.554,6.2403,0.7874
BeiDou,Open Sky,47.12,35.29,12,1.748,1.8249,0.128
BeiDou,Open Sky,37.97,42.98,12,2.062,1.3339,0.0723
GLONASS,Urban Canyon,18.45,44.41,11,4.682,4.1317,0.6268
Galileo,Open Sky,41.31,46.02,11,2.106,0.6865,0.0189
GPS,Open Sky,18.75,39.77,11,1.871,2.433,0.3983
BeiDou,Open Sky,57.91,42.84,13,2.112,2.7675,0.1746
GPS,Open Sky,50.71,47.91,12,1.732,3.1402,0.3166
GPS,Open Sky,49.89,41.09,7,1.743,2.0757,0.0659
GPS,Urban Canyon,6.37,29.88,10,7.752,5.5003,0.7195
GLONASS,Urban Canyon,41.96,32.79,7,2.246,5.5222,0.8546
GLONASS,Urban Canyon,21.62,30.69,9,3.936,4.9115,0.543
GLONASS,Open Sky,48.67,40.42,13,1.296,0.9002,0.2941
GLONASS,Open Sky,59.56,39.01,13,1.46,1.6278,0.2996
GPS,Open Sky,42.95,46.96,11,2.059,0.3526,0.0722
BeiDou,Open Sky,52.25,36.19,13,2.027,1.8027,0.1401
Galileo,Open Sky,22.21,44.01,10,1.932,2.2197,0.2878
GLONASS,Open Sky,25.24,39.74,8,2.513,1.9418,0.1289
GPS,Open Sky,61.27,41.96,8,1.523,2.6887,0.1732
BeiDou,Open Sky,31.35,40.42,9,1.579,1.3765,0.2244
GPS,Open Sky,39.63,39.5,10,1.822,2.1139,0.1031
GPS,Urban Canyon,40.04,36.16,7,3.478,4.6585,0.6948
Galileo,Open Sky,57.42,39.76,13,1.756,1.695,0.3103
GPS,Urban Canyon,20.54,30.08,8,2.096,4.0585,0.4427
GPS,Open Sky,17.47,45.28,13,1.594,1.4339,0.2445
GLONASS,Open Sky,41.52,42.51,10,3.84,1.8969,0.0218
Galileo,Open Sky,61.7,45.73,9,1.794,0.1,0.1425
BeiDou,Open Sky,33.13,45.81,11,1.434,0.8859,0.2283
GPS,Open Sky,70.5,36.75,14,1.945,2.7524,0.0752
GLONASS,Open Sky,37.59,40.74,12,1.061,1.0534,0.436
Galileo,Urban Canyon,17.34,33.87,9,3.26,4.2129,0.4292
GLONASS,Open Sky,28.27,37.16,9,1.292,1.675,0.0639
Galileo,Open Sky,60.76,45.24,11,1.517,0.71,0.0481
Galileo,Urban Canyon,12.25,30.74,7,6.401,5.319,0.5208
BeiDou,Open Sky,24.63,39.5,12,1.089,0.1,0.1263
GPS,Urban Canyon,41.5,36.83,7,4.763,4.4346,0.4163
GPS,Open Sky,53.92,46.18,11,1.726,0.1439,0.2005
GLONASS,Open Sky,59.42,39.39,13,1.327,2.1153,0.1972
BeiDou,Open Sky,29.57,36.38,9,2.06,2.0446,0.4767
GPS,Open Sky,48.15,44.03,14,2.42,1.9384,0.0241
Galileo,Urban Canyon,23.3,32.02,5,3.411,3.9194,0.7637
BeiDou,Open Sky,85.0,37.26,12,2.558,0.4928,0.2562
GLONASS,Open Sky,36.47,43.59,13,1.801,1.0544,0.1596
BeiDou,Open Sky,54.99,42.78,10,1.942,0.8457,0.3421
Galileo,Urban Canyon,37.4,30.46,10,3.61,5.8632,0.7723
GLONASS,Urban Canyon,29.73,28.23,9,3.294,3.8895,0.7683
GPS,Urban Canyon,38.48,30.56,4,2.844,4.2423,0.5151
BeiDou,Urban Canyon,27.4,35.45,9,2.671,4.2585,0.5233
Galileo,Urban Canyon,34.65,32.78,8,3.211,2.7201,0.6246
GLONASS,Open Sky,63.17,45.43,12,1.778,2.4401,0.0014
Galileo,Urban Canyon,33.16,36.91,9,3.704,5.4792,0.7288
Galileo,Open Sky,38.19,39.31,9,1.231,1.941,0.148
GLONASS,Open Sky,68.29,47.54,14,1.277,1.4659,0.1605
Galileo,Urban Canyon,27.54,41.53,6,4.696,4.7585,0.5228
BeiDou,Open Sky,32.42,44.46,12,1.989,1.8147,0.2711
Galileo,Open Sky,45.35,37.82,14,2.471,1.7852,0.1185
GLONASS,Open Sky,56.27,35.53,9,3.236,2.6287,0.1314
GPS,Open Sky,62.88,37.43,13,1.0,2.3239,0.5373
Galileo,Urban Canyon,12.32,41.81,7,6.16,5.1406,0.4277
Galileo,Open Sky,34.13,43.6,12,1.826,0.1,0.0826
GPS,Urban Canyon,12.2,39.86,7,2.845,4.2572,0.7081
GPS,Open Sky,39.39,51.74,11,1.5,0.7805,0.1453
GLONASS,Urban Canyon,17.63,30.9,8,2.121,4.0036,0.6399
GLONASS,Open Sky,49.69,40.59,11,1.639,3.1663,0.4623
GLONASS,Urban Canyon,25.47,33.77,8,3.786,4.6056,0.2522
GPS,Open Sky,46.72,42.99,11,1.911,0.6892,0.1086
GPS,Open Sky,20.76,40.31,10,1.696,1.7956,0.1414
GPS,Open Sky,43.64,40.32,9,2.727,0.1,0.3243
GLONASS,Open Sky,35.3,44.41,10,2.02,1.7419,0.0851
BeiDou,Open Sky,63.1,37.14,8,2.553,1.6431,0.1165
GPS,Urban Canyon,5.0,30.19,6,4.166,5.6023,0.6624
GLONASS,Urban Canyon,13.95,36.94,5,3.481,4.6432,0.4369
GPS,Urban Canyon,31.26,35.67,7,3.174,5.6024,0.5662
GPS,Open Sky,60.77,47.43,13,1.761,1.5567,0.0244
GPS,Open Sky,15.08,49.68,9,1.178,0.6954,0.141
GPS,Urban Canyon,38.37,35.13,5,2.118,3.9092,0.4559
GLONASS,Urban Canyon,48.14,31.2,5,2.876,5.0412,0.7517
BeiDou,Open Sky,54.49,46.68,9,1.716,0.6827,0.0809
GPS,Urban Canyon,22.34,38.74,7,4.651,5.9875,0.8132
Galileo,Open Sky,50.07,41.35,11,1.849,2.2478,0.0863
GLONASS,Urban Canyon,40.23,38.45,9,3.501,4.8911,0.487
BeiDou,Urban Canyon,44.5,33.16,4,3.238,4.2555,0.7448
GLONASS,Urban Canyon,21.11,35.97,6,2.345,4.9015,0.7661
GPS,Open Sky,40.23,47.85,9,2.1,1.8498,0.3608
GLONASS,Urban Canyon,46.59,31.2,7,2.851,6.5232,0.5639
GPS,Open Sky,42.4,40.81,12,1.969,0.4858,0.1504
BeiDou,Urban Canyon,19.7,34.72,4,2.132,4.6839,0.6627
Galileo,Open Sky,64.36,41.54,11,2.963,0.2749,0.2799
GLONASS,Urban Canyon,33.25,42.16,10,2.806,3.4747,0.4868
GPS,Urban Canyon,30.63,43.84,8,3.202,4.3408,0.7136
Galileo,Open Sky,67.03,38.14,11,2.004,2.448,0.401
BeiDou,Open Sky,36.98,47.93,10,1.0,1.583,0.1419
GLONASS,Urban Canyon,36.32,36.9,6,3.768,6.1889,0.6817
Galileo,Open Sky,31.32,46.87,11,3.987,2.8013,0.09
BeiDou,Open Sky,32.36,35.47,11,1.177,0.8498,0.0444
BeiDou,Open Sky,67.06,41.98,13,1.519,1.6416,0.1568
GPS,Open Sky,50.09,34.45,11,2.658,1.2236,0.1983
Galileo,Urban Canyon,26.61,39.28,8,1.889,1.9966,0.3632
Galileo,Urban Canyon,35.71,34.87,6,2.802,4.0847,0.6683
GLONASS,Open Sky,42.77,37.89,8,1.212,1.0667,0.1543
GPS,Open Sky,42.48,37.52,12,1.481,1.2908,0.2574
GPS,Open Sky,69.82,35.51,14,3.133,1.2412,0.1516
BeiDou,Open Sky,61.65,39.72,9,1.59,0.5621,0.1064
BeiDou,Urban Canyon,33.28,34.45,9,2.309,3.7481,0.7309
BeiDou,Open Sky,34.58,46.94,9,2.294,0.7596,0.0944
BeiDou,Open Sky,34.77,40.27,15,2.658,2.0933,0.1468
GLONASS,Urban Canyon,16.34,28.42,8,5.003,6.5747,0.4328
GLONASS,Open Sky,67.53,47.88,9,2.321,2.244,0.4165
GLONASS,Urban Canyon,38.49,31.57,4,2.812,5.0223,0.5386
Galileo,Open Sky,58.66,38.51,8,1.287,0.1,0.0902
Galileo,Open Sky,34.27,41.13,13,1.955,1.4789,0.1889
GPS,Open Sky,44.46,43.49,12,3.156,2.4502,0.042
GLONASS,Urban Canyon,18.51,39.59,6,4.037,4.7709,0.8317
GPS,Urban Canyon,5.0,33.79,10,2.465,5.9018,0.7109
GPS,Open Sky,46.34,39.17,10,1.854,1.2071,0.1516
Galileo,Open Sky,45.48,39.32,12,2.143,2.2562,0.1999
Galileo,Open Sky,51.87,51.14,11,3.093,1.708,0.211
GPS,Urban Canyon,21.73,30.41,6,4.19,5.2584,0.5728
BeiDou,Urban Canyon,26.78,30.42,9,3.19,4.1938,0.698
BeiDou,Urban Canyon,46.56,38.28,8,3.156,4.1067,0.6791
GPS,Urban Canyon,46.32,31.72,4,4.66,6.5141,0.6252
GPS,Open Sky,78.51,46.99,11,2.093,1.1444,0.2165
GPS,Urban Canyon,5.0,36.93,4,1.954,3.4242,0.7264
GLONASS,Urban Canyon,44.71,31.83,8,3.285,5.5793,0.5442
BeiDou,Open Sky,52.96,40.26,9,2.407,2.0942,0.0303
GPS,Urban Canyon,34.29,30.39,5,5.009,6.929,0.8312
GLONASS,Open Sky,18.52,46.09,11,1.312,3.3247,0.0609
GPS,Urban Canyon,12.78,32.58,5,2.115,3.2567,0.8798
Galileo,Urban Canyon,30.13,41.35,8,3.505,3.9425,0.4944
BeiDou,Urban Canyon,36.49,28.42,6,3.766,4.9097,0.5336
GPS,Open Sky,71.97,47.75,13,1.239,1.7959,0.5392
GPS,Open Sky,43.66,42.39,9,2.175,1.5065,0.1402
Galileo,Urban Canyon,44.67,38.16,5,5.278,3.5855,0.7134
GLONASS,Urban Canyon,29.44,32.62,9,5.389,5.3368,0.3436
BeiDou,Open Sky,12.89,44.57,15,1.479,1.1588,0.4461
BeiDou,Urban Canyon,42.21,29.75,5,3.734,6.8977,0.4935
GPS,Open Sky,33.47,37.48,11,1.341,1.169,0.112
GPS,Urban Canyon,22.05,38.22,7,2.73,5.4253,0.6395
GLONASS,Urban Canyon,25.07,35.0,7,4.446,4.423,0.6777
GPS,Open Sky,33.41,32.1,11,1.258,3.6596,0.0627
BeiDou,Open Sky,42.4,37.67,10,1.766,1.2779,0.117
GLONASS,Urban Canyon,43.74,40.11,9,4.052,6.3021,0.9274
GPS,Urban Canyon,23.39,34.57,10,4.777,5.2786,0.7289
BeiDou,Urban Canyon,5.0,32.93,7,4.321,5.0072,0.8164
GPS,Open Sky,28.64,37.76,12,3.032,2.1828,0.0853
Galileo,Urban Canyon,26.83,39.42,6,2.936,4.4179,0.587
Galileo,Open Sky,19.94,37.72,8,1.62,2.3037,0.2724
Galileo,Open Sky,55.7,41.06,14,1.0,0.202,0.1555
GLONASS,Open Sky,51.11,43.13,8,1.748,1.7169,0.1108
GLONASS,Urban Canyon,38.78,36.97,7,4.368,5.8463,0.6842
BeiDou,Urban Canyon,19.07,27.55,9,2.872,4.1193,0.5345
BeiDou,Urban Canyon,52.25,35.13,8,5.078,4.9028,0.7387
Galileo,Urban Canyon,20.28,26.75,8,4.993,4.2962,0.7733
GPS,Open Sky,50.18,37.81,10,2.296,0.1,0.3586
GLONASS,Open Sky,20.99,40.5,10,1.247,1.9472,0.2265
BeiDou,Open Sky,33.06,40.94,12,2.084,1.8449,0.099
GPS,Open Sky,24.83,40.2,7,1.803,1.01,0.0749
Galileo,Open Sky,57.09,40.09,12,2.283,2.356,0.2219
Galileo,Urban Canyon,23.34,34.98,4,3.46,5.4141,0.6729
GPS,Urban Canyon,47.21,30.34,7,3.732,5.5425,0.4122
GLONASS,Urban Canyon,5.0,38.65,9,3.9,3.8493,0.7427
Galileo,Open Sky,8.8,46.99,12,1.039,1.4303,0.0857
GLONASS,Open Sky,24.16,41.43,10,1.189,2.7205,0.0314
BeiDou,Open Sky,54.05,45.0,10,2.084,0.1,0.0666
BeiDou,Open Sky,29.18,40.94,8,2.003,0.3496,0.0356
Galileo,Open Sky,51.26,36.26,14,1.185,1.1683,0.1432
GPS,Open Sky,38.61,37.2,12,1.689,0.5735,0.1208
GLONASS,Open Sky,60.54,43.42,12,1.967,1.7022,0.1398
BeiDou,Urban Canyon,6.86,34.22,8,5.794,5.6736,0.3026
Galileo,Open Sky,51.07,35.64,10,1.855,1.7657,0.1691
BeiDou,Open Sky,44.33,38.06,14,2.574,1.4473,0.5413
GPS,Open Sky,37.18,36.19,14,1.595,1.2445,0.416
BeiDou,Open Sky,51.43,36.87,10,1.752,2.9929,0.0368
GPS,Open Sky,38.5,39.24,16,1.632,1.8845,0.1231
GPS,Open Sky,48.13,46.31,13,2.016,0.7818,0.2456
Galileo,Urban Canyon,39.69,28.94,5,3.087,5.735,0.5396
GPS,Open Sky,44.7,44.12,12,1.663,0.9756,0.029
GPS,Urban Canyon,22.64,40.99,4,3.824,5.7985,0.8965
GPS,Open Sky,20.37,42.71,10,1.0,0.1617,0.142
Galileo,Open Sky,48.5,39.24,13,1.154,1.1333,0.1407
GLONASS,Open Sky,37.76,31.55,10,1.548,3.0643,0.0411
GPS,Open Sky,38.6,40.78,7,1.136,0.9513,0.0393
GLONASS,Open Sky,72.15,37.79,12,1.315,3.6656,0.1893
BeiDou,Urban Canyon,31.59,36.3,7,5.375,5.5907,0.7937
GPS,Open Sky,50.38,48.58,12,2.374,2.886,0.6457
GPS,Urban Canyon,24.74,31.24,9,2.219,2.8886,0.7277
BeiDou,Open Sky,27.62,43.04,10,2.127,0.6109,0.1387
BeiDou,Open Sky,48.27,43.35,15,1.6,3.2264,0.1021
Galileo,Open Sky,50.19,42.95,12,1.773,1.8105,0.2698
BeiDou,Open Sky,50.37,40.6,12,1.674,0.9982,0.0469
GPS,Open Sky,50.64,44.64,8,1.992,2.086,0.1974
Galileo,Urban Canyon,6.4,33.36,5,4.622,5.607,0.5951
